No  Node1 Node2 type valid 
0   0     1     1    1  
1   2     3     1    1  
2   2     5     1    1  
3   4     5     1    1  
4   3     6     1    1  
5   4     7     1    1
6   0     8     1    1
7   1     9     1    1
8   3     10    1    1  
9   10    11    1    1
10  8     12    1    1
11  0     7     1    1
12  7     12    1    1
13  7     14    1    1
14  12    17    1    1
15  14    17    1    1
16  14    15    1    1
17  5     15    1    1
18  10    20    1    1
19  11    19    1    1
20  19    20    1    1
21  11    13    1    1
22  13    18    1    1
23  12    16    1    1
24  6     21    1    1
25  15    22    1    1
26  17    23    1    1
27  16    23    1    1
28  17    29    1    1
29  22    29    1    1
30  21    22    1    1
31  20    21    1    1
32  9     16    1    1
33  18    24    1    1
34  18    30    1    1
35  18    25    1    1
36  24    30    1    1
37  25    26    1    1
38  19    26    1    1
39  26    27    1    1
40  20    27    1    1
41  21    28    1    1
42  27    28    1    1
43  30    31    1    1
44  27    31    1    1
45  31    32    1    1
46  28    32    1    1
47  32    33    1    1
48  22    33    1    1
49  33    36    1    1
50  29    36    1    1
51  23    34    1    1
52  34    37    1    1
53  36    37    1    1
54  36    40    1    1
55  1     35    1    1
56  24    39    1    1
57  24    43    1    1
58  30    44    1    1
59  43    44    1    1
60  43    46    1    1
61  44    49    1    1
62  46    49    1    1
63  40    45    1    1
64  37    45    1    1
65  37    48    1    1
66  38    48    1    1
67  38    41    1    1
68  41    42    1    1
69  48    50    1    1
70  41    50    1    1
71  50    51    1    1
72  42    51    1    1
73  35    42    1    1
74  45    47    1    1
75  51    52    1    1
76  46    53    1    1
77  39    54    1    1
78  53    54    1    1
79  47    55    1    1
80  47    56    1    1
81  55    61    1    1
82  56    61    1    1
83  55    60    1    1
84  57    58    1    1
85  58    59    1    1
86  59    60    1    1
87  60    65    1    1
88  61    65    1    1
89  50    56    1    1
90  49    62    1    1
91  57    63    1    1
92  62    63    1    1
93  58    64    1    1
94  63    64    1    1
95  64    67    1    1
96  59    67    1    1
97  60    68    1    1
98  56    69    1    1
99  65    70    1    1
100 68    70    1    1
101 69    71    1    1
102 71    76    1    1
103 52    76    1    1
104 52    66    1    1
105 69    80    1    1
106 70    80    1    1
107 54    72    1    1
108 53    73    1    1
109 72    73    1    1
110 73    74    1    1
111 74    79    1    1
112 72    78    1    1
113 64    75    1    1
114 67    77    1    1
115 75    77    1    1
116 66    83    1    1
117 76    83    1    1
118 71    81    1    1
119 76    82    1    1
120 81    82    1    1
121 81    90    1    1
122 79    84    1    1
123 75    85    1    1
124 77    86    1    1
125 84    85    1    1
126 85    86    1    1
127 86    89    1    1
128 68    89    1    1
129 80    87    1    1
130 87    90    1    1
131 90    98    1    1
132 82    98    1    1
133 87    96    1    1
134 94    96    1    1
135 97    98    1    1
136 72    92    1    1
137 73    93    1    1
138 92    93    1    1
139 74    91    1    1
140 91    93    1    1
141 88    91    1    1
142 89    95    1    1
143 94    100   1    1
144 95    100   1    1
145 100   102   1    1
146 96    102   1    1
147 97    104   1    1
148 102   104   1    1
149 104   105   1    1
150 98    106   1    1
151 105   106   1    1
152 93    103   1    1
153 101   103   1    1
154 88    101   1    1
155 99    101   1    1
156 95    99    1    1
157 99    107   1    1
158 107   108   1    1
159 95    108   1    1
160 108   109   1    1
161 109   110   1    1
162 100   110   1    1
163 110   111   1    1
164 104   111   1    1
165 105   113   1    1
166 111   113   1    1
167 103   114   1    1
168 101   112   1    1
169 112   114   1    1
170 109   118   1    1
171 114   121   1    1
172 106   119   1    1
173 119   120   1    1
174 118   120   1    1
175 115   116   1    1
176 116   117   1    1
177 117   118   1    1
178 121   124   1    1
179 78    124   1    1
180 121   122   1    1
181 122   123   1    1
182 122   130   1    1
183 123   125   1    1
184 125   130   1    1
185 125   126   1    1
186 126   127   1    1
187 115   127   1    1
188 127   128   1    1
189 116   128   1    1
190 117   129   1    1
191 128   129   1    1
192 118   131   1    1
193 124   134   1    1
194 132   134   1    1
195 131   132   1    1
196 131   133   1    1
197 119   133   1    1
