No  Node1 Node2 type valid 
0   0     2     1    1
1   0     3     1    1
2   0     7     1    1
3   1     2     1    1
4   1     5     1    1
5   5     8     1    1
6   2     6     1    1
7   3     4     1    1
8   4     9     1    1
9   7     10    1    1
10  5     11    1    1
11  11    15    1    1
12  1     12    1    1
13  8     13    1    1
14  12    13    1    1
15  6     14    1    1
16  13    18    1    1
17  12    16    1    1
18  6     16    1    1
19  16    18    1    1
20  10    14    1    1
21  7     17    1    1
22  17    19    1    1
23  3     19    1    1
24  19    20    1    1
25  4     20    1    1
26  8     21    1    1
27  15    22    1    1
28  11    21    1    1
29  21    25    1    1
30  15    30    1    1
31  25    30    1    1
32  13    29    1    1
33  14    26    1    1
34  14    27    1    1
35  17    27    1    1
36  20    23    1    1
37  23    24    1    1
38  9     24    1    1
39  9     28    1    1
40  22    38    1    1
41  22    39    1    1
42  25    40    1    1
43  21    31    1    1
44  31    40    1    1
45  29    31    1    1
46  29    33    1    1
47  18    33    1    1
48  26    32    1    1
49  27    32    1    1
50  27    34    1    1
51  17    34    1    1
52  32    34    1    1
53  34    35    1    1
54  19    35    1    1
55  20    36    1    1
56  35    36    1    1
57  36    37    1    1
58  23    37    1    1
59  38    45    1    1
60  45    50    1    1
61  45    48    1    1
62  39    45    1    1
63  39    42    1    1
64  42    48    1    1
65  42    47    1    1
66  30    46    1    1
67  46    47    1    1
68  40    46    1    1
69  16    43    1    1
70  32    43    1    1
71  37    41    1    1
72  24    41    1    1
73  28    44    1    1
74  35    49    1    1
75  50    55    1    1
76  48    55    1    1
77  48    53    1    1
78  55    58    1    1
79  53    58    1    1
80  58    60    1    1
81  53    56    1    1
82  56    60    1    1
83  47    56    1    1
84  46    54    1    1
85  33    54    1    1
86  49    51    1    1
87  37    51    1    1
88  41    52    1    1
89  44    52    1    1
90  51    57    1    1
91  52    57    1    1
92  43    65    1    1
93  49    65    1    1
94  49    63    1    1
95  57    63    1    1
96  52    62    1    1
97  60    66    1    1
98  56    61    1    1
99  61    66    1    1
100 54    61    1    1
101 54    71    1    1
102 70    71    1    1
103 69    71    1    1
104 67    69    1    1
105 67    68    1    1
106 65    68    1    1
107 63    65    1    1
108 63    64    1    1
109 62    64    1    1
110 59    62    1    1
111 66    76    1    1
112 61    72    1    1
113 72    76    1    1
114 70    72    1    1
115 71    73    1    1
116 69    74    1    1
117 73    74    1    1
118 67    75    1    1
119 74    75    1    1
120 64    77    1    1
121 62    80    1    1
122 59    81    1    1
123 80    81    1    1
124 73    82    1    1
125 74    83    1    1
126 82    83    1    1
127 75    79    1    1
128 79    83    1    1
129 77    78    1    1
130 78    84    1    1
131 65    85    1    1
132 84    85    1    1
133 80    84    1    1
134 68    87    1    1
135 85    87    1    1
136 76    88    1    1
137 70    88    1    1
138 88    89    1    1
139 83    89    1    1
140 79    86    1    1
141 89    93    1    1
142 86    91    1    1
143 91    93    1    1
144 87    97    1    1
145 85    94    1    1
146 84    92    1    1
147 81    90    1    1
148 92    94    1    1
149 90    92    1    1
150 88    105   1    1
151 91    96    1    1
152 96    97    1    1
153 94    95    1    1
154 95    97    1    1
155 90    98    1    1
156 96    100   1    1
157 95    102   1    1
158 98    102   1    1
159 100   105   1    1
160 100   101   1    1
161 101   102   1    1
162 98    99    1    1
163 102   104   1    1
164 99    104   1    1
165 103   105   1    1
166 103   111   1    1
167 105   112   1    1
168 111   112   1    1
169 105   106   1    1
170 112   113   1    1
171 106   113   1    1
172 106   107   1    1
173 113   114   1    1
174 107   114   1    1
175 107   108   1    1
176 102   108   1    1
177 108   115   1    1
178 114   115   1    1
179 108   109   1    1
180 115   116   1    1
181 109   116   1    1
182 109   110   1    1
183 116   117   1    1
184 110   117   1    1
